기간	자치구	지역내총부가가치(당해년가격)	구성비	경제활동별	경제활동별	경제활동별	경제활동별	경제활동별	경제활동별	경제활동별	경제활동별	경제활동별	경제활동별	경제활동별	경제활동별	경제활동별	경제활동별	경제활동별	경제활동별	경제활동별	경제활동별	경제활동별	경제활동별	경제활동별	경제활동별	경제활동별	경제활동별	경제활동별	경제활동별	경제활동별	경제활동별	경제활동별	경제활동별	경제활동별	경제활동별	순생산물세	구성비
기간	자치구	지역내총부가가치(당해년가격)	구성비	농림어업	구성비	광업	구성비	제조업	구성비	전기 가스 증기 및 수도사업	구성비	건설업	구성비	도소매업	구성비	운수업	구성비	숙박 및 음식점업	구성비	정보 및 통신업	구성비	금융보험업	구성비	부동산 및 임대업	구성비	사업서비스업	구성비	공공행정 국방 및 사회보장행정	구성비	교육서비스업	구성비	보건 및 사회복지사업	구성비	문화 및 기타서비스업	구성비	순생산물세	구성비
2016	서울시	327,277,837	100	457,030	100	23,860	100	20,584,437	100	2,322,918	100	10,438,624	100	56,166,303	100	10,655,485	100	11,233,143	100	32,820,871	100	38,608,394	100	38,929,868	100	44,416,718	100	17,999,421	100	16,216,171	100	16,146,087	100	10,258,507	100	32,162,086	100
2016	종로구	25,694,553	7.9	5,530	1.2	3,371	14.1	508,830	2.5	76,977	3.3	235,437	2.3	2,691,589	4.8	527,979	5	626,463	5.6	2,069,729	6.3	6,967,794	18	2,206,102	5.7	2,901,918	6.5	4,594,252	25.5	726,779	4.5	988,057	6.1	563,748	5.5	2,342,223	7.3
2016	중구	43,957,020	13.4	33	0	2,697	11.3	1,405,429	6.8	99,638	4.3	491,058	4.7	6,589,063	11.7	1,595,678	15	1,267,835	11.3	5,204,976	15.9	16,746,233	43.4	1,999,612	5.1	4,258,867	9.6	2,662,856	14.8	575,561	3.5	499,870	3.1	557,613	5.4	4,697,787	14.6
2016	용산구	9,526,068	2.9	8,342	1.8	-	-	145,388	0.7	66,891	2.9	450,724	4.3	1,595,555	2.8	354,300	3.3	469,873	4.2	495,355	1.5	381,642	1	1,339,162	3.4	1,167,805	2.6	2,143,370	11.9	314,121	1.9	240,990	1.5	352,550	3.4	782,330	2.4
2016	성동구	9,352,650	2.9	361	0.1	-	-	2,120,589	10.3	89,817	3.9	533,819	5.1	1,724,102	3.1	235,456	2.2	215,673	1.9	533,104	1.6	133,395	0.3	939,624	2.4	1,317,708	3	233,759	1.3	631,889	3.9	294,220	1.8	349,133	3.4	1,150,395	3.6
2016	광진구	5,434,238	1.7	127	0	-	-	605,719	2.9	81,124	3.5	179,522	1.7	746,076	1.3	196,312	1.8	456,990	4.1	170,257	0.5	146,816	0.4	784,082	2	580,350	1.3	225,025	1.3	570,787	3.5	422,312	2.6	268,738	2.6	536,018	1.7
2016	동대문구	6,476,223	2	124	0	1,236	5.2	890,167	4.3	74,951	3.2	270,280	2.6	1,161,240	2.1	177,380	1.7	269,727	2.4	79,637	0.2	227,141	0.6	798,691	2.1	589,209	1.3	265,075	1.5	796,248	4.9	589,564	3.7	285,554	2.8	703,859	2.2
2016	중랑구	3,652,338	1.1	1,559	0.3	2,023	8.5	404,857	2	69,451	3	126,795	1.2	613,031	1.1	307,203	2.9	181,928	1.6	73,936	0.2	81,704	0.2	544,519	1.4	162,471	0.4	206,946	1.1	343,074	2.1	305,669	1.9	227,174	2.2	360,816	1.1
2016	성북구	4,830,995	1.5	412	0.1	-	-	253,607	1.2	86,613	3.7	269,729	2.6	545,591	1	151,872	1.4	243,182	2.2	91,091	0.3	106,790	0.3	721,072	1.9	385,647	0.9	251,758	1.4	1,072,202	6.6	446,414	2.8	205,012	2	386,216	1.2
2016	강북구	2,583,046	0.8	504	0.1	-	-	151,274	0.7	58,279	2.5	140,922	1.4	321,893	0.6	148,822	1.4	176,838	1.6	47,885	0.1	167,240	0.4	396,227	1	109,204	0.2	199,399	1.1	229,051	1.4	265,093	1.6	170,415	1.7	247,104	0.8
2016	도봉구	2,590,650	0.8	915	0.2	81	0.3	192,786	0.9	60,310	2.6	120,700	1.2	360,118	0.6	199,857	1.9	128,295	1.1	23,405	0.1	52,161	0.1	431,205	1.1	108,695	0.2	251,331	1.4	268,609	1.7	227,272	1.4	164,909	1.6	226,201	0.7
2016	노원구	4,936,313	1.5	1,100	0.2	-	-	207,014	1	97,332	4.2	150,721	1.4	525,494	0.9	287,458	2.7	255,460	2.3	54,510	0.2	184,212	0.5	715,660	1.8	333,353	0.8	259,278	1.4	1,009,466	6.2	666,196	4.1	189,058	1.8	356,455	1.1
2016	은평구	3,601,150	1.1	2,656	0.6	-	-	125,633	0.6	82,778	3.6	392,019	3.8	418,372	0.7	204,275	1.9	203,646	1.8	64,164	0.2	120,734	0.3	678,986	1.7	158,009	0.4	259,705	1.4	370,564	2.3	352,792	2.2	166,816	1.6	328,678	1
2016	서대문구	6,891,914	2.1	97,934	21.4	-	-	106,950	0.5	68,227	2.9	277,191	2.7	727,556	1.3	123,225	1.2	324,198	2.9	210,205	0.6	720,379	1.9	721,922	1.9	619,682	1.4	707,210	3.9	1,140,074	7	901,816	5.6	145,345	1.4	560,292	1.7
