기간	자치구	동	합계	합계	합계	합계	합계	합계	합계	합계	합계	합계	광업	광업	광업	광업	광업	광업	광업	광업	광업	광업	제조업	제조업	제조업	제조업	제조업	제조업	제조업	제조업	제조업	제조업
기간	자치구	동	사업체수	월평균종사자수	연간급여액(퇴직금제외)	생산액	출하액	완제품반제품재공품재고액	완제품반제품재공품재고액	주요생산비	부가가치	유형자산연말잔액(건설중인자산제외)	사업체수	월평균종사자수	연간급여액(퇴직금제외)	생산액	출하액	완제품반제품재공품재고액	완제품반제품재공품재고액	주요생산비	부가가치	유형자산연말잔액(건설중인자산제외)	사업체수	월평균종사자수	연간급여액(퇴직금제외)	생산액	출하액	완제품반제품재공품재고액	완제품반제품재공품재고액	주요생산비	부가가치	유형자산연말잔액(건설중인자산제외)
기간	자치구	동	사업체수	월평균종사자수	연간급여액(퇴직금제외)	생산액	출하액	연초	연말	주요생산비	부가가치	유형자산연말잔액(건설중인자산제외)	사업체수	월평균종사자수	연간급여액(퇴직금제외)	생산액	출하액	연초	연말	주요생산비	부가가치	유형자산연말잔액(건설중인자산제외)	사업체수	월평균종사자수	연간급여액(퇴직금제외)	생산액	출하액	연초	연말	주요생산비	부가가치	유형자산연말잔액(건설중인자산제외)
2008	중구	신당1동	19	227	2,015	21,650	20,906	…	…	11,565	10,085	3,374	-	-	-	-	-	-	-	-	-	-	19	227	2,015	21,650	20,906	…	…	11,565	10,085	3,374
2008	중구	신당2동	7	143	2,989	28,220	28,423	…	…	15,391	12,829	1,940	-	-	-	-	-	-	-	-	-	-	7	143	2,989	28,220	28,423	…	…	15,391	12,829	1,940
2008	중구	신당3동	1	X	X	X	X	…	…	X	X	X	-	-	-	-	-	-	-	-	-	-	1	X	X	X	X	…	…	X	X	X
2008	중구	신당4동	8	113	1,971	9,359	9,315	…	…	5,048	4,311	949	-	-	-	-	-	-	-	-	-	-	8	113	1,971	9,359	9,315	…	…	5,048	4,311	949
2008	중구	신당5동	6	67	524	2,243	2,262	…	…	832	1,411	193	-	-	-	-	-	-	-	-	-	-	6	67	524	2,243	2,262	…	…	832	1,411	193
2008	중구	신당6동	39	468	5,632	35,377	34,494	…	…	17,299	18,078	4,274	-	-	-	-	-	-	-	-	-	-	39	468	5,632	35,377	34,494	…	…	17,299	18,078	4,274
2008	중구	황학동	1	X	X	X	X	…	…	X	X	X	-	-	-	-	-	-	-	-	-	-	1	X	X	X	X	…	…	X	X	X
2008	중구	중림동	3	85	1,919	7,632	7,538	…	…	2,831	4,801	696	-	-	-	-	-	-	-	-	-	-	3	85	1,919	7,632	7,538	…	…	2,831	4,801	696
2008	용산구	계	54	1,062	26,041	141,671	140,969	4,427	5,129	71,908	69,763	43,543	-	-	-	-	-	-	-	-	-	-	54	1,062	26,041	141,671	140,969	4,427	5,129	71,908	69,763	43,543
2008	용산구	후암동	3	79	1,832	15,663	15,177	…	…	11,066	4,597	1,979	-	-	-	-	-	-	-	-	-	-	3	79	1,832	15,663	15,177	…	…	11,066	4,597	1,979
2008	용산구	용산2가동	1	X	X	X	X	…	…	X	X	X	-	-	-	-	-	-	-	-	-	-	1	X	X	X	X	…	…	X	X	X
2008	용산구	남영동	2	X	X	X	X	…	…	X	X	X	-	-	-	-	-	-	-	-	-	-	2	X	X	X	X	…	…	X	X	X
2008	용산구	원효로2동	4	110	2,909	15,294	15,253	…	…	8,648	6,646	5,395	-	-	-	-	-	-	-	-	-	-	4	110	2,909	15,294	15,253	…	…	8,648	6,646	5,395
2008	용산구	효창동	3	36	805	3,874	3,924	…	…	1,674	2,200	913	-	-	-	-	-	-	-	-	-	-	3	36	805	3,874	3,924	…	…	1,674	2,200	913
2008	용산구	용문동	2	X	X	X	X	…	…	X	X	X	-	-	-	-	-	-	-	-	-	-	2	X	X	X	X	…	…	X	X	X
2008	용산구	이촌1동	-	-	-	-	-	…	…	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	…	…	-	-	-
2008	용산구	이촌2동	-	-	-	-	-	…	…	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	…	…	-	-	-
2008	용산구	이태원1동	-	-	-	-	-	…	…	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	…	…	-	-	-
2008	용산구	이태원2동	1	X	X	X	X	…	…	X	X	X	-	-	-	-	-	-	-	-	-	-	1	X	X	X	X	…	…	X	X	X
2008	용산구	서빙고동	1	X	X	X	X	…	…	X	X	X	-	-	-	-	-	-	-	-	-	-	1	X	X	X	X	…	…	X	X	X
2008	용산구	보광동	1	X	X	X	X	…	…	X	X	X	-	-	-	-	-	-	-	-	-	-	1	X	X	X	X	…	…	X	X	X
2008	용산구	청파동	10	184	4,025	20,054	20,054	…	…	8,242	11,812	8,909	-	-	-	-	-	-	-	-	-	-	10	184	4,025	20,054	20,054	…	…	8,242	11,812	8,909
2008	용산구	원효로1동	8	120	2,454	14,077	14,037	…	…	7,802	6,275	3,778	-	-	-	-	-	-	-	-	-	-	8	120	2,454	14,077	14,037	…	…	7,802	6,275	3,778
2008	용산구	한강로동	15	343	9,795	49,727	49,707	…	…	20,312	29,415	15,774	-	-	-	-	-	-	-	-	-	-	15	343	9,795	49,727	49,707	…	…	20,312	29,415	15,774
2008	용산구	한남동	3	48	929	8,705	8,592	…	…	6,261	2,444	541	-	-	-	-	-	-	-	-	-	-	3	48	929	8,705	8,592	…	…	6,261	2,444	541
2008	성동구	계	542	13,886	335,119	2,805,038	2,777,470	153,052	180,620	1,569,408	1,235,630	876,489	-	-	-	-	-	-	-	-	-	-	542	13,886	335,119	2,805,038	2,777,470	153,052	180,620	1,569,408	1,235,630	876,489
2008	성동구	왕십리2동	4	94	2,475	47,388	47,377	…	…	32,260	15,128	4,671	-	-	-	-	-	-	-	-	-	-	4	94	2,475	47,388	47,377	…	…	32,260	15,128	4,671
2008	성동구	마장동	18	275	5,993	89,028	88,406	…	…	69,409	19,619	14,868	-	-	-	-	-	-	-	-	-	-	18	275	5,993	89,028	88,406	…	…	69,409	19,619	14,868
2008	성동구	사근동	1	X	X	X	X	…	…	X	X	X	-	-	-	-	-	-	-	-	-	-	1	X	X	X	X	…	…	X	X	X
2008	성동구	행당1동	1	X	X	X	X	…	…	X	X	X	-	-	-	-	-	-	-	-	-	-	1	X	X	X	X	…	…	X	X	X
2008	성동구	행당2동	-	-	-	-	-	…	…	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	…	…	-	-	-
2008	성동구	응봉동	-	-	-	-	-	…	…	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	…	…	-	-	-
2008	성동구	금호1가동	-	-	-	-	-	…	…	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	…	…	-	-	-
2008	성동구	금호4가동	-	-	-	-	-	…	…	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	…	…	-	-	-
2008	성동구	성수1가1동	33	568	12,765	149,252	149,327	…	…	91,496	57,756	207,499	-	-	-	-	-	-	-	-	-	-	33	568	12,765	149,252	149,327	…	…	91,496	57,756	207,499
2008	성동구	성수1가2동	53	1,037	25,692	189,453	190,357	…	…	105,439	84,014	60,343	-	-	-	-	-	-	-	-	-	-	53	1,037	25,692	189,453	190,357	…	…	105,439	84,014	60,343
2008	성동구	성수2가1동	91	1,792	34,431	316,511	315,367	…	…	192,901	123,610	54,916	-	-	-	-	-	-	-	-	-	-	91	1,792	34,431	316,511	315,367	…	…	192,901	123,610	54,916
2008	성동구	성수2가3동	300	9,213	233,662	1,814,956	1,788,719	…	…	951,258	863,698	514,810	-	-	-	-	-	-	-	-	-	-	300	9,213	233,662	1,814,956	1,788,719	…	…	951,258	863,698	514,810
2008	성동구	송정동	8	179	3,875	58,753	59,304	…	…	45,716	13,037	2,796	-	-	-	-	-	-	-	-	-	-	8	179	3,875	58,753	59,304	…	…	45,716	13,037	2,796
2008	성동구	용답동	21	440	10,127	87,924	86,910	…	…	47,317	40,607	8,447	-	-	-	-	-	-	-	-	-	-	21	440	10,127	87,924	86,910	…	…	47,317	40,607	8,447
2008	성동구	왕십리도선동	9	201	4,204	37,575	37,338	…	…	22,519	15,056	7,891	-	-	-	-	-	-	-	-	-	-	9	201	4,204	37,575	37,338	…	…	22,519	15,056	7,891
2008	성동구	금호2.3가동	1	X	X	X	X	…	…	X	X	X	-	-	-	-	-	-	-	-	-	-	1	X	X	X	X	…	…	X	X	X
2008	성동구	옥수동	2	X	X	X	X	…	…	X	X	X	-	-	-	-	-	-	-	-	-	-	2	X	X	X	X	…	…	X	X	X
2008	광진구	계	187	3,686	80,452	687,771	686,684	35,551	36,638	422,386	265,385	98,356	-	-	-	-	-	-	-	-	-	-	187	3,686	80,452	687,771	686,684	35,551	36,638	422,386	265,385	98,356
2008	광진구	화양동	5	124	3,699	40,372	39,910	…	…	30,720	9,652	2,811	-	-	-	-	-	-	-	-	-	-	5	124	3,699	40,372	39,910	…	…	30,720	9,652	2,811
2008	광진구	군자동	11	218	4,934	51,718	54,289	…	…	39,241	12,477	13,272	-	-	-	-	-	-	-	-	-	-	11	218	4,934	51,718	54,289	…	…	39,241	12,477	13,272
2008	광진구	중곡1동	33	673	18,415	155,969	157,453	…	…	91,426	64,543	35,135	-	-	-	-	-	-	-	-	-	-	33	673	18,415	155,969	157,453	…	…	91,426	64,543	35,135
2008	광진구	중곡2동	17	327	6,081	62,055	61,051	…	…	45,350	16,705	2,944	-	-	-	-	-	-	-	-	-	-	17	327	6,081	62,055	61,051	…	…	45,350	16,705	2,944
2008	광진구	중곡3동	21	310	5,058	28,112	28,186	…	…	17,214	10,898	4,811	-	-	-	-	-	-	-	-	-	-	21	310	5,058	28,112	28,186	…	…	17,214	10,898	4,811
2008	광진구	중곡4동	15	290	5,481	32,913	32,772	…	…	20,852	12,061	5,624	-	-	-	-	-	-	-	-	-	-	15	290	5,481	32,913	32,772	…	…	20,852	12,061	5,624
2008	광진구	능동	6	98	1,848	38,069	36,119	…	…	28,469	9,600	1,602	-	-	-	-	-	-	-	-	-	-	6	98	1,848	38,069	36,119	…	…	28,469	9,600	1,602
2008	광진구	구의1동	9	109	1,990	14,997	14,996	…	…	9,358	5,639	711	-	-	-	-	-	-	-	-	-	-	9	109	1,990	14,997	14,996	…	…	9,358	5,639	711
2008	광진구	구의2동	16	336	5,950	46,468	46,307	…	…	30,802	15,666	9,648	-	-	-	-	-	-	-	-	-	-	16	336	5,950	46,468	46,307	…	…	30,802	15,666	9,648
2008	광진구	구의3동	8	297	8,034	59,625	57,913	…	…	37,784	21,841	2,910	-	-	-	-	-	-	-	-	-	-	8	297	8,034	59,625	57,913	…	…	37,784	21,841	2,910
2008	광진구	광장동	6	94	1,928	16,016	16,465	…	…	9,490	6,526	1,222	-	-	-	-	-	-	-	-	-	-	6	94	1,928	16,016	16,465	…	…	9,490	6,526	1,222
2008	광진구	자양1동	15	341	6,900	31,177	31,521	…	…	15,307	15,870	2,420	-	-	-	-	-	-	-	-	-	-	15	341	6,900	31,177	31,521	…	…	15,307	15,870	2,420
2008	광진구	자양2동	5	113	2,907	38,100	37,938	…	…	11,999	26,101	4,568	-	-	-	-	-	-	-	-	-	-	5	113	2,907	38,100	37,938	…	…	11,999	26,101	4,568
2008	광진구	자양3동	2	X	X	X	X	…	…	X	X	X	-	-	-	-	-	-	-	-	-	-	2	X	X	X	X	…	…	X	X	X
2008	광진구	자양4동	18	329	6,534	66,698	66,292	…	…	30,194	36,504	10,386	-	-	-	-	-	-	-	-	-	-	18	329	6,534	66,698	66,292	…	…	30,194	36,504	10,386
2008	동대문구	계	242	5,021	109,182	1,162,883	1,157,627	122,153	127,409	708,865	454,018	122,420	-	-	-	-	-	-	-	-	-	-	242	5,021	109,182	1,162,883	1,157,627	122,153	127,409	708,865	454,018	122,420
2008	동대문구	신설동	28	515	11,938	110,652	111,192	…	…	76,790	33,862	11,829	-	-	-	-	-	-	-	-	-	-	28	515	11,938	110,652	111,192	…	…	76,790	33,862	11,829
2008	동대문구	제기1동	4	46	730	4,475	4,469	…	…	2,774	1,701	217	-	-	-	-	-	-	-	-	-	-	4	46	730	4,475	4,469	…	…	2,774	1,701	217
2008	동대문구	제기2동	6	94	2,617	14,559	14,338	…	…	8,613	5,946	554	-	-	-	-	-	-	-	-	-	-	6	94	2,617	14,559	14,338	…	…	8,613	5,946	554
2008	동대문구	전농1동	2	X	X	X	X	…	…	X	X	X	-	-	-	-	-	-	-	-	-	-	2	X	X	X	X	…	…	X	X	X
2008	동대문구	전농3동	1	X	X	X	X	…	…	X	X	X	-	-	-	-	-	-	-	-	-	-	1	X	X	X	X	…	…	X	X	X
2008	동대문구	답십리1동	5	51	257	841	841	…	…	418	423	658	-	-	-	-	-	-	-	-	-	-	5	51	257	841	841	…	…	418	423	658
2008	동대문구	답십리2동	4	61	2,159	11,139	11,129	…	…	8,069	3,070	139	-	-	-	-	-	-	-	-	-	-	4	61	2,159	11,139	11,129	…	…	8,069	3,070	139
2008	동대문구	답십리4동	9	152	2,832	19,695	19,288	…	…	9,556	10,139	8,783	-	-	-	-	-	-	-	-	-	-	9	152	2,832	19,695	19,288	…	…	9,556	10,139	8,783
2008	동대문구	장안1동	61	1,406	29,066	404,098	411,055	…	…	231,240	172,858	23,524	-	-	-	-	-	-	-	-	-	-	61	1,406	29,066	404,098	411,055	…	…	231,240	172,858	23,524
2008	동대문구	장안2동	13	321	6,553	53,847	50,933	…	…	29,877	23,970	9,340	-	-	-	-	-	-	-	-	-	-	13	321	6,553	53,847	50,933	…	…	29,877	23,970	9,340
2008	동대문구	장안3동	23	375	8,103	123,282	124,176	…	…	69,759	53,523	2,684	-	-	-	-	-	-	-	-	-	-	23	375	8,103	123,282	124,176	…	…	69,759	53,523	2,684
2008	동대문구	장안4동	24	462	6,957	67,178	66,218	…	…	45,347	21,831	9,290	-	-	-	-	-	-	-	-	-	-	24	462	6,957	67,178	66,218	…	…	45,347	21,831	9,290
2008	동대문구	회기동	-	-	-	-	-	…	…	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	…	…	-	-	-
2008	동대문구	휘경1동	6	134	2,711	34,783	34,521	…	…	26,649	8,134	6,344	-	-	-	-	-	-	-	-	-	-	6	134	2,711	34,783	34,521	…	…	26,649	8,134	6,344
2008	동대문구	휘경2동	4	277	8,042	110,764	106,000	…	…	52,592	58,172	27,932	-	-	-	-	-	-	-	-	-	-	4	277	8,042	110,764	106,000	…	…	52,592	58,172	27,932
2008	동대문구	이문1동	-	-	-	-	-	…	…	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	…	…	-	-	-
2008	동대문구	이문2동	1	X	X	X	X	…	…	X	X	X	-	-	-	-	-	-	-	-	-	-	1	X	X	X	X	…	…	X	X	X
2008	동대문구	이문3동	3	44	1,450	18,977	11,881	…	…	15,429	3,548	3,298	-	-	-	-	-	-	-	-	-	-	3	44	1,450	18,977	11,881	…	…	15,429	3,548	3,298
2008	동대문구	용두동	29	582	13,675	74,656	75,702	…	…	49,021	25,635	7,943	-	-	-	-	-	-	-	-	-	-	29	582	13,675	74,656	75,702	…	…	49,021	25,635	7,943
2008	동대문구	전농2동	2	X	X	X	X	…	…	X	X	X	-	-	-	-	-	-	-	-	-	-	2	X	X	X	X	…	…	X	X	X
2008	동대문구	답십리3동	16	404	9,661	105,177	100,038	…	…	72,363	32,814	7,575	-	-	-	-	-	-	-	-	-	-	16	404	9,661	105,177	100,038	…	…	72,363	32,814	7,575
2008	동대문구	청량리동	1	X	X	X	X	…	…	X	X	X	-	-	-	-	-	-	-	-	-	-	1	X	X	X	X	…	…	X	X	X
2008	중랑구	계	296	4,629	66,589	320,589	319,314	9,846	11,121	169,424	151,165	42,387	-	-	-	-	-	-	-	-	-	-	296	4,629	66,589	320,589	319,314	9,846	11,121	169,424	151,165	42,387
2008	중랑구	면목2동	38	673	9,232	60,911	60,238	…	…	40,768	20,143	4,413	-	-	-	-	-	-	-	-	-	-	38	673	9,232	60,911	60,238	…	…	40,768	20,143	4,413
2008	중랑구	면목4동	17	227	2,635	9,821	9,802	…	…	4,825	4,996	1,332	-	-	-	-	-	-	-	-	-	-	17	227	2,635	9,821	9,802	…	…	4,825	4,996	1,332
2008	중랑구	면목5동	14	207	2,844	13,247	13,267	…	…	6,635	6,612	2,425	-	-	-	-	-	-	-	-	-	-	14	207	2,844	13,247	13,267	…	…	6,635	6,612	2,425
2008	중랑구	면목7동	29	378	5,011	15,453	15,427	…	…	6,399	9,054	1,672	-	-	-	-	-	-	-	-	-	-	29	378	5,011	15,453	15,427	…	…	6,399	9,054	1,672
2008	중랑구	상봉1동	17	289	5,331	35,553	34,717	…	…	21,791	13,762	10,946	-	-	-	-	-	-	-	-	-	-	17	289	5,331	35,553	34,717	…	…	21,791	13,762	10,946
2008	중랑구	상봉2동	27	381	5,326	16,509	16,486	…	…	6,728	9,781	1,744	-	-	-	-	-	-	-	-	-	-	27	381	5,326	16,509	16,486	…	…	6,728	9,781	1,744
2008	중랑구	중화1동	11	219	3,490	19,046	18,551	…	…	9,690	9,356	6,023	-	-	-	-	-	-	-	-	-	-	11	219	3,490	19,046	18,551	…	…	9,690	9,356	6,023
2008	중랑구	중화2동	15	243	4,289	17,760	17,752	…	…	7,812	9,948	924	-	-	-	-	-	-	-	-	-	-	15	243	4,289	17,760	17,752	…	…	7,812	9,948	924
2008	중랑구	묵1동	9	189	3,871	19,732	20,082	…	…	9,593	10,139	1,408	-	-	-	-	-	-	-	-	-	-	9	189	3,871	19,732	20,082	…	…	9,593	10,139	1,408
2008	중랑구	묵2동	13	206	3,025	14,020	14,015	…	…	6,323	7,697	2,198	-	-	-	-	-	-	-	-	-	-	13	206	3,025	14,020	14,015	…	…	6,323	7,697	2,198
2008	중랑구	망우3동	20	322	3,518	10,564	10,703	…	…	3,487	7,077	1,896	-	-	-	-	-	-	-	-	-	-	20	322	3,518	10,564	10,703	…	…	3,487	7,077	1,896
2008	중랑구	신내1동	5	89	1,580	7,014	7,050	…	…	4,366	2,648	810	-	-	-	-	-	-	-	-	-	-	5	89	1,580	7,014	7,050	…	…	4,366	2,648	810
2008	중랑구	신내2동	-	-	-	-	-	…	…	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	…	…	-	-	-
2008	중랑구	면목본동	44	673	9,236	51,539	51,850	…	…	27,397	24,142	4,338	-	-	-	-	-	-	-	-	-	-	44	673	9,236	51,539	51,850	…	…	27,397	24,142	4,338
2008	중랑구	면목3.8동	15	187	2,313	5,545	5,545	…	…	1,120	4,425	652	-	-	-	-	-	-	-	-	-	-	15	187	2,313	5,545	5,545	…	…	1,120	4,425	652
2008	중랑구	망우본동	22	346	4,888	23,875	23,829	…	…	12,490	11,385	1,606	-	-	-	-	-	-	-	-	-	-	22	346	4,888	23,875	23,829	…	…	12,490	11,385	1,606
2008	성북구	계	96	1,628	27,864	196,274	203,900	33,293	25,667	127,298	68,976	25,633	-	-	-	-	-	-	-	-	-	-	96	1,628	27,864	196,274	203,900	33,293	25,667	127,298	68,976	25,633
2008	성북구	돈암1동	1	X	X	X	X	…	…	X	X	X	-	-	-	-	-	-	-	-	-	-	1	X	X	X	X	…	…	X	X	X
2008	성북구	돈암2동	-	-	-	-	-	…	…	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	…	…	-	-	-
2008	성북구	안암동	1	X	X	X	X	…	…	X	X	X	-	-	-	-	-	-	-	-	-	-	1	X	X	X	X	…	…	X	X	X
2008	성북구	보문동	2	X	X	X	X	…	…	X	X	X	-	-	-	-	-	-	-	-	-	-	2	X	X	X	X	…	…	X	X	X
2008	성북구	정능1동	2	X	X	X	X	…	…	X	X	X	-	-	-	-	-	-	-	-	-	-	2	X	X	X	X	…	…	X	X	X
2008	성북구	정능2동	-	-	-	-	-	…	…	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	…	…	-	-	-
2008	성북구	정능3동	5	120	1,702	14,646	14,451	…	…	9,699	4,947	1,574	-	-	-	-	-	-	-	-	-	-	5	120	1,702	14,646	14,451	…	…	9,699	4,947	1,574
2008	성북구	정능4동	2	X	X	X	X	…	…	X	X	X	-	-	-	-	-	-	-	-	-	-	2	X	X	X	X	…	…	X	X	X
2008	성북구	길음1동	1	X	X	X	X	…	…	X	X	X	-	-	-	-	-	-	-	-	-	-	1	X	X	X	X	…	…	X	X	X
2008	성북구	길음2동	2	X	X	X	X	…	…	X	X	X	-	-	-	-	-	-	-	-	-	-	2	X	X	X	X	…	…	X	X	X
2008	성북구	월곡1동	9	175	4,501	56,420	55,391	…	…	42,005	14,415	2,786	-	-	-	-	-	-	-	-	-	-	9	175	4,501	56,420	55,391	…	…	42,005	14,415	2,786
2008	성북구	월곡2동	11	157	2,073	12,107	12,068	…	…	7,042	5,065	3,190	-	-	-	-	-	-	-	-	-	-	11	157	2,073	12,107	12,068	…	…	7,042	5,065	3,190
2008	성북구	장위1동	10	191	2,934	9,001	9,035	…	…	4,197	4,804	2,456	-	-	-	-	-	-	-	-	-	-	10	191	2,934	9,001	9,035	…	…	4,197	4,804	2,456
2008	성북구	장위2동	19	234	2,622	7,942	8,045	…	…	3,227	4,715	1,587	-	-	-	-	-	-	-	-	-	-	19	234	2,622	7,942	8,045	…	…	3,227	4,715	1,587
2008	성북구	장위3동	13	247	4,666	41,584	41,588	…	…	23,265	18,319	3,213	-	-	-	-	-	-	-	-	-	-	13	247	4,666	41,584	41,588	…	…	23,265	18,319	3,213
