자치구,읍면동명,사업체 평균연령
노원구,중계1동,10.5
노원구,중계4동,10.083
노원구,상계1동,16.999000000000002
노원구,상계2동,6.832999999999999
노원구,상계5동,9.5
노원구,상계8동,13.583
노원구,상계9동,14.833
노원구,상계10동,14.417
노원구,상계3.4동,12.667
노원구,상계6.7동,11.167
노원구,중계2.3동,11.083
노원구,공릉1동,10.5
은평구,녹번동,10.417
은평구,불광1동,10.75
은평구,갈현1동,9.25
은평구,갈현2동,10.167
은평구,구산동,13.25
은평구,대조동,9.25
은평구,응암1동,10.334000000000001
은평구,응암2동,12.0
은평구,신사1동,12.083
은평구,신사2동,20.916999999999998
은평구,증산동,11.5
은평구,수색동,13.917
은평구,진관동,8.167
은평구,불광2동,11.833
은평구,응암3동,10.167
은평구,역촌동,10.083
서대문구,천연동,10.417
서대문구,홍제1동,9.833
서대문구,홍제3동,11.25
서대문구,홍제2동,8.917
서대문구,홍은1동,10.583
서대문구,홍은2동,9.917
서대문구,남가좌1동,11.167
서대문구,남가좌2동,9.083
서대문구,북가좌1동,8.667
서대문구,북가좌2동,11.667
서대문구,충현동,10.417
서대문구,북아현동,10.167
서대문구,신촌동,7.25
서대문구,연희동,9.417
마포구,용강동,8.417
마포구,대흥동,9.0
마포구,염리동,9.417
마포구,신수동,8.917
마포구,서교동,6.167000000000001
마포구,합정동,7.25
마포구,망원1동,9.334
마포구,망원2동,8.583
마포구,연남동,6.5
마포구,성산1동,9.083
마포구,성산2동,9.083
마포구,상암동,6.082999999999999
마포구,도화동,9.083
마포구,서강동,6.582999999999999
마포구,공덕동,9.25
마포구,아현동,8.583
양천구,목1동,7.25
양천구,목2동,10.75
양천구,목3동,9.5
양천구,목4동,9.334
양천구,신월1동,10.917
양천구,신월2동,13.167
양천구,신월3동,11.917
양천구,신월4동,12.5
양천구,신월5동,10.5
양천구,신월6동,22.583000000000002
양천구,신월7동,12.167
양천구,신정1동,9.083
양천구,신정2동,8.833
양천구,신정3동,12.667
양천구,신정6동,8.667
양천구,신정7동,11.583
양천구,목5동,8.25
양천구,신정4동,8.833
강서구,염창동,10.667
강서구,등촌1동,8.75
강서구,등촌2동,11.0
강서구,등촌3동,9.083
강서구,화곡본동,11.083
강서구,화곡2동,10.167
강서구,화곡3동,8.5
강서구,화곡4동,9.999
강서구,화곡6동,8.917
강서구,화곡8동,9.75
강서구,가양1동,8.417
강서구,가양2동,10.667
강서구,가양3동,12.334000000000001
강서구,발산1동,10.167
강서구,공항동,9.5
강서구,방화1동,12.0
강서구,방화2동,14.833
강서구,방화3동,13.583
강서구,화곡1동,9.167
강서구,우장산동,9.083
구로구,신도림동,9.083
구로구,구로1동,9.917
구로구,구로3동,7.832999999999999
구로구,구로4동,9.167
구로구,구로5동,8.917
구로구,고척1동,10.833
구로구,고척2동,10.167
구로구,개봉2동,10.0
구로구,개봉3동,9.833
구로구,오류1동,9.833
구로구,오류2동,9.167
구로구,수궁동,11.083
구로구,가리봉동,9.417
구로구,구로2동,11.167
구로구,개봉1동,9.583
금천구,가산동,7.75
금천구,독산1동,9.583
금천구,독산2동,8.417
금천구,독산3동,8.833
금천구,독산4동,8.75
금천구,시흥1동,8.917
금천구,시흥2동,9.5
금천구,시흥3동,11.083
금천구,시흥4동,9.0
금천구,시흥5동,9.417
영등포구,여의동,9.75
영등포구,당산1동,9.25
영등포구,당산2동,8.667
영등포구,양평1동,12.833
영등포구,양평2동,9.75
영등포구,신길1동,11.167
영등포구,신길3동,11.667
영등포구,신길4동,12.167
영등포구,신길5동,12.083
영등포구,신길6동,10.917
영등포구,신길7동,10.334000000000001
영등포구,대림1동,9.75
영등포구,대림2동,8.167
영등포구,대림3동,12.667
영등포구,영등포본동,9.167
영등포구,영등포동,10.583
영등포구,도림동,10.417
영등포구,문래동,11.334000000000001
동작구,노량진2동,12.417
동작구,상도1동,9.917
동작구,상도2동,9.75
동작구,상도3동,11.167
동작구,상도4동,11.833
동작구,사당1동,8.75
동작구,사당3동,11.5
동작구,사당4동,10.25
동작구,사당5동,10.999
동작구,대방동,10.417
동작구,신대방1동,9.917
동작구,신대방2동,9.583
동작구,흑석동,10.833
동작구,노량진1동,11.25
동작구,사당2동,8.667
관악구,보라매동,9.583
관악구,청림동,10.999
관악구,행운동,9.583
관악구,낙성대동,8.25
관악구,중앙동,10.5
관악구,인헌동,10.667
관악구,남현동,9.75
관악구,서원동,8.667
관악구,신원동,10.25
관악구,서림동,16.667
관악구,신사동,8.999
관악구,신림동,7.167000000000001
관악구,난향동,12.917
관악구,조원동,10.0
관악구,대학동,8.583
관악구,은천동,11.25
관악구,성현동,11.917
관악구,청룡동,9.417
관악구,난곡동,12.917
관악구,삼성동,14.75
관악구,미성동,11.167
서초구,서초1동,8.999
서초구,서초2동,8.25
서초구,서초3동,8.667
서초구,서초4동,7.832999999999999
서초구,잠원동,8.083
서초구,반포본동,9.833
서초구,반포1동,7.082999999999999
서초구,반포2동,9.083
서초구,반포3동,9.334
서초구,반포4동,9.083
서초구,방배본동,8.167
서초구,방배1동,8.334
서초구,방배2동,8.167
서초구,방배3동,10.75
서초구,방배4동,8.75
서초구,양재1동,9.167
서초구,양재2동,9.25
서초구,내곡동,11.417
강남구,신사동,6.832999999999999
강남구,논현1동,7.25
강남구,논현2동,7.582999999999999
강남구,삼성1동,7.667000000000001
강남구,삼성2동,8.0
강남구,대치1동,7.75
강남구,대치4동,6.5
강남구,역삼1동,6.917000000000001
강남구,역삼2동,7.832999999999999
강남구,도곡1동,8.083
강남구,도곡2동,8.5
강남구,개포1동,12.083
강남구,개포4동,9.583
강남구,일원본동,10.833
강남구,일원1동,17.667
강남구,일원2동,11.334000000000001
강남구,수서동,9.75
강남구,세곡동,8.083
강남구,압구정동,7.167000000000001
강남구,청담동,7.582999999999999
강남구,대치2동,9.0
강남구,개포2동,10.25
송파구,풍납1동,9.833
송파구,풍납2동,9.417
송파구,거여1동,9.25
송파구,거여2동,9.667
송파구,마천1동,9.25
송파구,마천2동,9.417
송파구,방이1동,8.083
송파구,방이2동,7.832999999999999
송파구,오륜동,14.167
송파구,오금동,9.083
송파구,송파1동,9.167
송파구,송파2동,8.334
송파구,석촌동,8.583
송파구,삼전동,7.999
송파구,가락본동,7.999
송파구,가락1동,14.75
송파구,가락2동,8.417
송파구,문정1동,7.999
송파구,문정2동,8.25
송파구,장지동,8.25
송파구,위례동,3.3339999999999996
송파구,잠실본동,7.5
송파구,잠실4동,7.917000000000001
송파구,잠실6동,8.833
송파구,잠실7동,11.917
송파구,잠실2동,5.999
송파구,잠실3동,7.25
강동구,강일동,7.832999999999999
강동구,상일동,10.167
강동구,명일1동,8.083
강동구,명일2동,8.25
강동구,고덕1동,9.5
강동구,고덕2동,15.417
강동구,암사2동,8.75
강동구,암사3동,8.999
강동구,천호1동,8.917
강동구,천호3동,8.417
강동구,성내1동,8.833
강동구,성내2동,7.917000000000001
강동구,성내3동,7.999
강동구,둔촌1동,11.583
강동구,둔촌2동,8.583
강동구,암사1동,8.334
강동구,천호2동,8.083
강동구,길동,8.25
