기간	자치구	동	합계	합계	합계	시장	시장	시장	시장	시장	시장	시장	시장	시장
기간	자치구	동	합계	합계	합계	등록시장	등록시장	등록시장	전통시장	전통시장	전통시장	상점가	상점가	상점가
기간	자치구	동	개소	점포수	면적	개소	점포수	면적	개소	점포수	면적	개소	점포수	면적
2012	합계	합계	279	63,465	2,427,265	152	33,570	1,062,390	93	15,578	988,070	34	14,317	376,805
2012	종로구	소계	15	12,143	186,965	7	7,327	114,374	6	784	19,207	2	4,032	53,384
2012	종로구	종로1.2.3.4가동	6	7,152	99,066	3	2,896	44,628	2	255	5,054	1	4,001	49,384
2012	종로구	종로5·6가동	6	4,710	74,996	2	4,227	60,084	3	452	10,912	1	31	4,000
2012	종로구	창신2동	1	130	6,452	1	130	6,452	-	-	-	-	-	-
2012	종로구	숭인2동	1	74	3,210	1	74	3,210	-	-	-	-	-	-
2012	종로구	청운효자동	1	77	3,241	-	-	-	1	77	3,241	-	-	-
2012	중구	소계	31	26,033	487,827	14	16,767	302,794	12	4,020	88,057	5	5,246	96,976
2012	중구	소공동	2	283	8,699	-	-	-	1	99	5,154	1	184	3,545
2012	중구	회현동	5	7,368	115,099	3	6,882	101,454	2	486	13,645	-	-	-
2012	중구	명동	5	733	18,999	-	-	-	3	349	9,454	2	384	9,545
2012	중구	광희동	7	4,597	103,450	4	3,957	85,421	2	319	9,245	1	321	8,784
2012	중구	을지로동	3	5,485	120,074	1	1,076	42,658	1	52	2,314	1	4,357	75,102
2012	중구	신당1동	7	6,918	94,006	5	4,270	51,715	2	2,648	42,291	-	-	-
2012	중구	신당3동	1	67	5,954	-	-	-	1	67	5,954	-	-	-
2012	중구	황학동	1	582	21,546	1	582	21,546	-	-	-	-	-	-
2012	용산구	소계	4	232	15,518	3	131	15,518	1	101	-	-	-	-
2012	용산구	이촌1동	1	101	-	-	-	-	1	101	-	-	-	-
2012	용산구	이태원1동	1	82	4,484	1	82	4,484	-	-	-	-	-	-
2012	용산구	보광동	1	18	3,352	1	18	3,352	-	-	-	-	-	-
2012	용산구	청파동	1	31	7,682	1	31	7,682	-	-	-	-	-	-
2012	성동구	소계	5	2,039	61,855	2	244	6,424	2	1,733	55,431	1	62	-
2012	성동구	마장동	1	1,550	26,313	-	-	-	1	1,550	26,313	-	-	-
2012	성동구	성수2가1동	1	131	5,141	1	131	5,141	-	-	-	-	-	-
2012	성동구	용답동	1	183	29,118	-	-	-	1	183	29,118	-	-	-
2012	성동구	왕십리도선동	1	62	-	-	-	-	-	-	-	1	62	-
2012	성동구	금호2.3가동	1	113	1,283	1	113	1,283	-	-	-	-	-	-
2012	광진구	소계	13	765	85,716	8	272	23,888	5	493	61,828	-	-	-
2012	광진구	화양동	2	…	…	1	…	…	1	…	11,281	-	-	-
2012	광진구	군자동	-	…	…	-	…	…	-	…	-	-	-	-
2012	광진구	중곡1동	3	…	…	2	…	…	1	…	14,684	-	-	-
2012	광진구	중곡2동	-	…	…	-	…	…	-	…	-	-	-	-
2012	광진구	중곡3동	-	…	…	-	…	…	-	…	-	-	-	-
2012	광진구	중곡4동	1	…	…	1	…	…	-	…	-	-	-	-
2012	광진구	능동	-	…	…	-	…	…	-	…	-	-	-	-
2012	광진구	구의1동	-	…	…	-	…	…	-	…	-	-	-	-
2012	광진구	구의2동	1	…	…	1	…	…	-	…	-	-	-	-
2012	광진구	구의3동	-	…	…	-	…	…	-	…	-	-	-	-
2012	광진구	광장동	-	…	…	-	…	…	-	…	-	-	-	-
2012	광진구	자양1동	1	…	…	-	…	…	1	…	16,400	-	-	-
2012	광진구	자양2동	-	…	…	-	…	…	-	…	-	-	-	-
2012	광진구	자양3동	1	…	…	1	…	…	-	…	-	-	-	-
2012	광진구	자양4동	4	…	…	2	…	…	2	…	19,463	-	-	-
2012	동대문구	소계	20	3,192	319,010	10	1,267	47,157	10	1,925	271,853	-	-	-
2012	동대문구	회기동	1	64	4,989	-	-	-	1	64	4,989	-	-	-
2012	동대문구	휘경1동	1	60	2,178	1	60	2,178	-	-	-	-	-	-
2012	동대문구	청량리동	1	51	1,466	-	-	-	1	51	1,466	-	-	-
2012	동대문구	용신동	3	152	19,364	2	42	11,605	1	110	7,759	-	-	-
2012	동대문구	제기동	8	2,388	276,675	3	797	24,894	5	1,591	251,781	-	-	-
2012	동대문구	전농1동	1	125	4,243	1	125	4,243	-	-	-	-	-	-
2012	동대문구	답십리1동	1	81	1,655	1	81	1,655	-	-	-	-	-	-
2012	동대문구	답십리2동	2	109	5,858	-	-	-	2	109	5,858	-	-	-
2012	동대문구	장안2동	1	17	809	1	17	809	-	-	-	-	-	-
2012	동대문구	이문2동	1	145	1,773	1	145	1,773	-	-	-	-	-	-
2012	중랑구	소계	12	1,120	126,215	7	413	73,715	5	707	52,500	-	-	-
2012	중랑구	면목7동	2	150	10,101	1	28	3,978	1	122	6,123	-	-	-
2012	중랑구	상봉2동	2	213	16,788	1	86	3,472	1	127	13,316	-	-	-
2012	중랑구	중화2동	1	38	7,052	1	38	7,052	-	-	-	-	-	-
2012	중랑구	망우3동	1	6	7,154	1	6	7,154	-	-	-	-	-	-
2012	중랑구	신내1동	1	79	19,165	1	79	19,165	-	-	-	-	-	-
2012	중랑구	신내2동	1	159	31,128	1	159	31,128	-	-	-	-	-	-
2012	중랑구	면목본동	2	151	16,867	1	17	1,766	1	134	15,101	-	-	-
2012	중랑구	면목3.8동	1	135	7,665	-	-	-	1	135	7,665	-	-	-
2012	중랑구	망우본동	1	189	10,295	-	-	-	1	189	10,295	-	-	-
2012	성북구	소계	10	805	…	6	400	…	4	405	…	-	-	-
2012	성북구	돈암2동	1	236	25,216	1	236	25,216	-	-	-	-	-	-
2012	성북구	정릉2동	1	106	6,236	-	-	-	1	106	6,236	-	-	-
2012	성북구	길음1동	1	114	8,635	1	114	8,635	-	-	-	-	-	-
2012	성북구	장위2동	2	157	13,237	1	26	3,678	1	131	9,559	-	-	-
2012	성북구	장위3동	1	2	1,914	1	2	1,914	-	-	-	-	-	-
2012	성북구	삼선동	1	108	13,867	-	-	-	1	108	13,867	-	-	-
2012	성북구	석관동	3	82	15,043	2	22	8,950	1	60	6,093	-	-	-
2012	강북구	소계	11	682	66,896	9	465	56,378	2	217	10,518	-	-	-
2012	강북구	번1동	1	30	3,878	1	30	3,878	-	-	-	-	-	-
2012	강북구	수유1동	4	365	19,351	2	148	8,833	2	217	10,518	-	-	-
2012	강북구	수유2동	1	8	5,986	1	8	5,986	-	-	-	-	-	-
2012	강북구	수유3동	2	119	14,357	2	119	14,357	-	-	-	-	-	-
2012	강북구	미아동	2	139	14,772	2	139	14,772	-	-	-	-	-	-
2012	강북구	인수동	1	21	8,552	1	21	8,552	-	-	-	-	-	-
2012	도봉구	소계	4	287	35,597	1	33	1,810	3	254	33,787	-	-	-
2012	도봉구	방학2동	1	98	15,243	-	-	-	1	98	15,243	-	-	-
2012	도봉구	창2동	1	88	11,219	-	-	-	1	88	11,219	-	-	-
2012	도봉구	창3동	1	68	7,325	-	-	-	1	68	7,325	-	-	-
2012	도봉구	도봉1동	1	33	1,810	1	33	1,810	-	-	-	-	-	-
2012	노원구	소계	3	331	42,574	1	60	4,992	2	271	37,582	-	-	-
2012	노원구	상계2동	1	151	21,913	-	-	-	1	151	21,913	-	-	-
2012	노원구	상계3.4동	1	60	4,992	1	60	4,992	-	-	-	-	-	-
2012	노원구	공릉1동	1	120	15,669	-	-	-	1	120	15,669	-	-	-
2012	은평구	소계	13	953	28,701	10	646	20,571	3	307	8,130	-	-	-
2012	은평구	갈현1동	1	58	1,520	1	58	1,520	-	-	-	-	-	-
2012	은평구	갈현2동	1	80	3,450	1	80	3,450	-	-	-	-	-	-
2012	은평구	대조동	2	195	5,253	1	60	2,293	1	135	2,960	-	-	-
2012	은평구	응암1동	1	60	1,803	1	60	1,803	-	-	-	-	-	-
2012	은평구	응암2동	2	85	3,770	1	23	900	1	62	2,870	-	-	-
2012	은평구	증산동	1	100	2,130	1	100	2,130	-	-	-	-	-	-
