기간	대분류	분류	계	매우 불만족	약간 불만족	보통	약간 만족	매우 만족
2012	서울시	서울시	100	1.3	7.6	28.6	52.3	10.1
2012	성별	남자	100	1.1	7.9	28.9	52.4	9.6
2012	성별	여자	100	1.6	7.3	28.4	52.2	10.5
2012	연령별	10대	100	1.3	7.2	28.3	53.6	9.5
2012	연령별	20대	100	1.1	7.6	29.5	52.1	9.8
2012	연령별	30대	100	1.1	8	30.3	50.7	9.9
2012	연령별	40대	100	1.4	8	26.9	53.9	9.8
2012	연령별	50대	100	1.6	7.2	27.6	53.8	9.7
2012	연령별	60대 이상	100	1.5	7.4	28.9	50.8	11.3
2012	학력별	중졸 이하	100	1.5	8.2	30	49.4	11
2012	학력별	고졸 이하	100	1.6	7.8	28.1	53	9.5
2012	학력별	대졸 이하	100	1.1	7.3	28.6	53.1	10
2012	학력별	대학원 이상	100	1.8	10.4	24.6	46.3	16.9
2012	소득별	100만원 미만	100	2.5	10.1	35.2	35.2	17
2012	소득별	100-200만원 미만	100	1.4	8.6	30.4	46.1	13.5
2012	소득별	200-300만원 미만	100	1.5	8.9	30.2	50.5	8.9
2012	소득별	300-400만원 미만	100	1.1	7.6	28.2	53.6	9.4
2012	소득별	400-500만원 미만	100	0.9	7	28.5	54.6	9
2012	소득별	500만원 이상	100	1.7	7	27.3	53.4	10.6
2012	혼인상태별	기혼	100	1.3	7.6	27.1	54	10
2012	혼인상태별	미혼	100	1.2	7.6	30.8	50.4	10
2012	혼인상태별	이혼/별거	100	2.1	7.9	30.3	51	8.8
2012	혼인상태별	사별	100	1.9	8	31.8	45.9	12.4
2012	지역대분류	도심권	100	2.2	10.2	20.9	32.4	34.3
2012	지역대분류	동북권	100	1.7	9	15.4	64	9.9
2012	지역대분류	서북권	100	0.4	8.8	13.7	75.2	1.9
2012	지역대분류	서남권	100	1.3	6.8	50.8	37.1	4.1
2012	지역대분류	동남권	100	1.1	5.4	27.8	47.7	18
2012	종로구	종로구	100	3.5	14.4	22.6	34	25.5
2012	중구	중구	100	0.8	7.6	23.6	31.3	36.7
2012	용산구	용산구	100	2.1	8.7	18.1	31.9	39.2
2012	성동구	성동구	100	2.1	18.4	21.2	54.9	3.4
2012	광진구	광진구	100	3.3	11.9	9.9	72.9	1.9
2012	동대문구	동대문구	100	3.4	8.8	16.6	67.3	3.9
2012	중랑구	중랑구	100	1.2	9.1	12.5	49.6	27.6
2012	성북구	성북구	100	2.1	7.4	18	43.1	29.4
2012	강북구	강북구	100	0.5	5.5	20.9	70	3.2
2012	도봉구	도봉구	100	1.9	8.9	15.7	69.1	4.3
2012	노원구	노원구	100	0.2	5.8	12.2	81.2	0.6
2012	은평구	은평구	100	0.3	6.5	13.6	78.7	0.9
2012	서대문구	서대문구	100	0.3	9.3	13.4	73.3	3.7
2012	마포구	마포구	100	0.6	11.4	14	72.2	1.8
2012	양천구	양천구	100	1.4	9.6	53.9	29.7	5.3
2012	강서구	강서구	100	1	5.1	56.8	36.9	0.2
2012	구로구	구로구	100	2.6	10.7	56	28.3	2.5
2012	금천구	금천구	100	0.6	7.5	46.3	44.4	1.2
2012	영등포구	영등포구	100	1.4	4.8	49.6	43	1.2
2012	동작구	동작구	100	0.5	2.3	42.1	42.7	12.5
2012	관악구	관악구	100	1.4	7.4	47.1	38.9	5.3
2012	서초구	서초구	100	2.8	9.3	36.4	37.9	13.7
2012	강남구	강남구	100	0	0.2	22.2	62.4	15.2
2012	송파구	송파구	100	0.5	6.9	24.3	46.6	21.8
2012	강동구	강동구	100	1.7	6.1	31.5	40.7	19.9
