기간	대분류	분류	20점 이하	21점 ~ 40점	41점 ~ 60점	61점 ~ 80점	81점~ 100점	평균(100점)
2012	서울시	서울시	0.7	1.7	17.3	60.1	20.2	73.3
2012	성별	남자	0.7	1.8	17.4	60.2	20	73.2
2012	성별	여자	0.7	1.6	17.2	60	20.5	73.4
2012	연령별	10대	0.9	0.8	14.2	56.1	28	75.41
2012	연령별	20대	0.5	1.9	15.8	58.7	23.1	74.13
2012	연령별	30대	0.8	1.1	15.9	59.3	22.9	74.36
2012	연령별	40대	0.7	1.4	16.1	60.9	20.9	73.85
2012	연령별	50대	0.6	2	18.1	63	16.3	72.24
2012	연령별	60대 이상	0.8	2.5	21.6	60.1	15	71.17
2012	학력별	중졸 이하	0.8	2.1	21.1	57.4	18.5	71.93
2012	학력별	고졸 이하	0.6	2	18.5	61.6	17.2	72.42
2012	학력별	대졸 이하	0.6	1.3	15	60.3	22.7	74.43
2012	학력별	대학원 이상	3.8	0.7	19.1	49.4	27	72.8
2012	소득별	100 만원 미만	1.2	4.4	36.2	50.9	7.3	65.92
2012	소득별	100-200만 미만	0.7	3.6	26.7	56.1	13	69.42
2012	소득별	200-300만 미만	0.7	2.3	20.9	59	17	71.8
2012	소득별	300-400만 미만	0.8	1.7	16.9	60.3	20.2	73.33
2012	소득별	400-500만 미만	0.6	1.1	13.9	63	21.4	74.42
2012	소득별	500만 이상	0.6	1.1	14.3	60	24	74.82
2012	혼인상태별	기혼	0.7	1.6	16.6	61	20.1	73.37
2012	혼인상태별	미혼	0.6	1.5	16.1	58.4	23.4	74.31
2012	혼인상태별	이혼/별거	0.5	1.9	23.6	63.2	10.8	70.6
2012	혼인상태별	사별	0.9	3	26.2	57.7	12.3	69.44
2012	지역대분류	도심권	0.2	1.9	13.8	50	34.1	76.24
2012	지역대분류	동북권	0.5	2.6	17.9	59.9	19.1	72.66
2012	지역대분류	서북권	0.1	1.1	18.9	54.4	25.5	74.26
2012	지역대분류	서남권	1.2	1.4	18.5	66	12.8	71.84
2012	지역대분류	동남권	0.7	0.9	14.5	57.5	26.5	75.23
2012	종로구	종로구	0.3	0.9	14.6	43.3	40.9	78.51
2012	중구	중구	0.2	3	19.2	42	35.7	74.34
2012	용산구	용산구	0.2	2	10.2	59.1	28.5	75.68
2012	성동구	성동구	0.9	2.1	22.4	53.4	21.1	71.04
2012	광진구	광진구	0.3	2.8	14.4	62.8	19.7	73.97
2012	동대문구	동대문구	0.4	1	19.9	64.1	14.6	72.45
2012	중랑구	중랑구	0.5	3.6	26.3	55.8	13.8	69.61
2012	성북구	성북구	0.1	1.9	14.9	67.7	15.5	73.27
2012	강북구	강북구	0.5	2.7	15	55.9	25.9	74.38
2012	도봉구	도봉구	1.1	5.1	23.2	53	17.6	69.76
2012	노원구	노원구	0.3	2	11.4	62.2	24.1	75.25
2012	은평구	은평구	0.1	1.6	23.2	49.4	25.7	73.29
2012	서대문구	서대문구	0.1	0.3	12.9	50.6	36	77.1
2012	마포구	마포구	0.1	1.1	18.1	64.1	16.6	73.22
2012	양천구	양천구	5.6	0.6	11.9	72.7	9.2	70.81
2012	강서구	강서구	0.2	0.5	15.1	72.3	11.9	73.73
2012	구로구	구로구	0.7	1.9	26.7	55.2	15.4	70.58
2012	금천구	금천구	0.6	3.2	29.5	55.6	11.1	68.71
2012	영등포구	영등포구	0.4	0.8	15.6	64.5	18.7	73.8
2012	동작구	동작구	0.2	0.9	14.2	69.9	14.9	73.7
2012	관악구	관악구	0.4	2.9	22.2	64.3	10.1	70.27
2012	서초구	서초구	0.1	0.2	6.7	64.9	28.1	76.99
2012	강남구	강남구	0.1	0	14.2	51.9	33.7	77.31
2012	송파구	송파구	-	0.7	13	60.3	26	76.14
2012	강동구	강동구	3.1	2.8	24.1	53.2	16.8	69.77
