기간	대분류	분류	부채 없음	부채 있음
2016	서울시	서울시	51.3	48.7
2016	성별	남자	49	51
2016	성별	여자	58.7	41.3
2016	연령별	20대 이하	55.1	44.9
2016	연령별	30대	48.9	51.1
2016	연령별	40대	41.2	58.8
2016	연령별	50대	46.2	53.8
2016	연령별	60대 이상	66.5	33.5
2016	학력별	중졸 이하	64.9	35.1
2016	학력별	고졸 이하	51.6	48.4
2016	학력별	대졸 이하	48.8	51.2
2016	학력별	대학원 이상	54.3	45.7
2016	주택형태	단독주택	51.3	48.7
2016	주택형태	아파트	50.8	49.2
2016	주택형태	다세대주택	51.9	48.1
2016	주택형태	연립/기타	52.5	47.5
2016	입주형태	자가	52.3	47.7
2016	입주형태	전세	49.5	50.5
2016	입주형태	월세/기타	51.5	48.5
2016	가구원수	1인	55	45
2016	가구원수	2인	53.7	46.3
2016	가구원수	3인	47.3	52.7
2016	가구원수	4인	47.3	52.7
2016	가구원수	5인 이상	49.3	50.7
2016	소득	100 만원 미만	58.6	41.4
2016	소득	100-200만 미만	60.1	39.9
2016	소득	200-300만 미만	52	48
2016	소득	300-400만 미만	48.4	51.6
2016	소득	400-500만 미만	50.7	49.3
2016	소득	500만원 이상	49.5	50.5
2016	지역대분류	도심권	44.7	55.3
2016	지역대분류	동북권	50.9	49.1
2016	지역대분류	서북권	55.6	44.4
2016	지역대분류	서남권	52	48
2016	지역대분류	동남권	50.1	49.9
2016	종로구	종로구	39.5	60.5
2016	중구	중구	38.9	61.1
2016	용산구	용산구	51.5	48.5
2016	성동구	성동구	58.6	41.4
2016	광진구	광진구	49.6	50.4
2016	동대문구	동대문구	42.4	57.6
2016	중랑구	중랑구	44	56
2016	성북구	성북구	54.6	45.4
2016	강북구	강북구	59.2	40.8
2016	도봉구	도봉구	54	46
2016	노원구	노원구	48.4	51.6
2016	은평구	은평구	50.9	49.1
2016	서대문구	서대문구	59.4	40.6
2016	마포구	마포구	58	42
2016	양천구	양천구	48.3	51.7
2016	강서구	강서구	53.2	46.8
2016	구로구	구로구	53.1	46.9
2016	금천구	금천구	56.1	43.9
2016	영등포구	영등포구	52.7	47.3
2016	동작구	동작구	52	48
2016	관악구	관악구	50.8	49.2
2016	서초구	서초구	51.2	48.8
2016	강남구	강남구	51.2	48.8
2016	송파구	송파구	47.2	52.8
2016	강동구	강동구	51.6	48.4
