기간	대분류	분류	향후 10년 이후 서울 거주 의향	향후 10년 이후 서울 거주 의향	향후 10년 이후 서울 거주 의향	향후 10년 이후 서울 거주 의향
기간	대분류	분류	그렇지 않다	보통이다	그렇다	10점 평균
2012	서울시	서울시	4.7	20.5	74.8	7.11
2012	성별	남자	4.5	20.4	75.1	7.11
2012	성별	여자	4.8	20.5	74.6	7.11
2012	연령별	10대	1.8	16.8	81.4	7.56
2012	연령별	20대	2.7	18	79.3	7.38
2012	연령별	30대	2.8	18.4	78.7	7.28
2012	연령별	40대	3.4	19.6	76.9	7.17
2012	연령별	50대	6.5	22.2	71.3	6.87
2012	연령별	60대 이상	8.8	25.3	65.9	6.71
2012	학력별	중졸 이하	7.5	21.8	70.7	6.96
2012	학력별	고졸 이하	5.6	22.9	71.5	6.93
2012	학력별	대졸 이하	3	18.4	78.6	7.28
2012	학력별	대학원 이상	3.3	18	78.8	7.47
2012	소득별	100 만원 미만	10.8	27	62.3	6.62
2012	소득별	100-200만 미만	8.9	25.8	65.4	6.68
2012	소득별	200-300만 미만	5.6	23.9	70.5	6.93
2012	소득별	300-400만 미만	4.5	20.1	75.4	7.1
2012	소득별	400-500만 미만	3.5	19.1	77.4	7.19
2012	소득별	500만 이상	3.6	18.1	78.2	7.3
2012	혼인상태별	기혼	4.9	20.8	74.3	7.05
2012	혼인상태별	미혼	2.5	18	79.5	7.39
2012	혼인상태별	이혼/별거	7.4	25.1	67.5	6.74
2012	혼인상태별	사별	10.9	27.1	62	6.54
2012	지역대분류	도심권	5.9	17.6	76.5	7.19
2012	지역대분류	동북권	6.3	21.2	72.5	7.03
2012	지역대분류	서북권	4.9	23.3	71.8	7.05
2012	지역대분류	서남권	3.5	19.9	76.6	7.11
2012	지역대분류	동남권	3.4	19.3	77.3	7.25
2012	종로구	종로구	4.9	14.3	80.8	7.49
2012	중구	중구	8.7	18.6	72.7	7.09
2012	용산구	용산구	5	19.4	75.6	7.04
2012	성동구	성동구	12.6	27.9	59.5	6.39
2012	광진구	광진구	6.7	18.8	74.5	7.08
2012	동대문구	동대문구	5.5	18.5	75.9	7.11
2012	중랑구	중랑구	6.8	28.7	64.6	6.71
2012	성북구	성북구	2.5	25.1	72.4	7.14
2012	강북구	강북구	4.2	17.2	78.6	7.29
2012	도봉구	도봉구	6.7	20.4	73	7
2012	노원구	노원구	6.9	15.3	77.8	7.26
2012	은평구	은평구	6.2	28.4	65.4	6.83
2012	서대문구	서대문구	5.6	14.7	79.7	7.37
2012	마포구	마포구	2.8	23.4	73.8	7.08
2012	양천구	양천구	0.8	18.1	81.1	7.13
2012	강서구	강서구	1.2	15.3	83.5	7.23
2012	구로구	구로구	5.4	21.7	72.9	7.03
2012	금천구	금천구	7.6	19.6	72.8	7.16
2012	영등포구	영등포구	2.7	20.3	77	7.18
2012	동작구	동작구	3.9	26.8	69.3	6.93
2012	관악구	관악구	5	19.9	75.1	7.09
2012	서초구	서초구	3.4	21.3	75.3	7.26
2012	강남구	강남구	1.1	26.7	72.2	7.18
2012	송파구	송파구	3.7	15.4	80.8	7.35
2012	강동구	강동구	5.7	14.2	80.1	7.19
