기간	대분류	분류	부채 없음	부채 있음
2008	서울시	서울시	54.4	45.6
2008	성별	남자	50.3	49.7
2008	성별	여자	68.3	31.7
2008	연령별	20대 이하	74.7	25.3
2008	연령별	30대	47.8	52.2
2008	연령별	40대	40.6	59.4
2008	연령별	50대	49.4	50.6
2008	연령별	60대 이상	74.1	25.9
2008	학력별	중졸 이하	58.3	41.7
2008	학력별	고졸 이하	45.4	54.6
2008	학력별	전문대 이하	53.1	46.9
2008	학력별	4년제 이하	47.2	52.8
2008	주택형태	단독주택	59.2	40.8
2008	주택형태	아파트	49.2	50.8
2008	주택형태	다세대주택	52	48
2008	주택형태	연립/빌라	54.8	45.2
2008	입주형태	자가	50.8	49.2
2008	입주형태	전세	52.4	47.6
2008	입주형태	보증부월세	65.7	34.3
2008	입주형태	월세(사글세)	63.2	36.8
2008	입주형태	무상 및 기타	68.1	31.9
2008	가구원수	1인	74	26
2008	가구원수	2인	63.3	36.7
2008	가구원수	3인	45.6	54.4
2008	가구원수	4인	40.1	59.9
2008	가구원수	5인 이상	39.5	60.5
2008	소득	100 만원 미만	80.4	19.6
2008	소득	100-200만 미만	66.4	33.6
2008	소득	200-300만 미만	54	46
2008	소득	300-400만 미만	47.8	52.2
2008	소득	400-500만 미만	38.8	61.2
2008	소득	500만원 이상	44.8	55.2
2008	지역대분류	도심권	68.5	31.5
2008	지역대분류	동북권	56.4	43.6
2008	지역대분류	서북권	41.7	58.3
2008	지역대분류	서남권	58	42
2008	지역대분류	동남권	49.5	50.5
2008	종로구	종로구	62.7	37.3
2008	중구	중구	58.2	41.8
2008	용산구	용산구	77.3	22.7
2008	성동구	성동구	50	50
2008	광진구	광진구	62.3	37.7
2008	동대문구	동대문구	56	44
2008	중랑구	중랑구	57.2	42.8
2008	성북구	성북구	64.7	35.3
2008	강북구	강북구	53.1	46.9
2008	도봉구	도봉구	52	48
2008	노원구	노원구	53.2	46.8
2008	은평구	은평구	30.7	69.3
2008	서대문구	서대문구	63.8	36.2
2008	마포구	마포구	35.1	64.9
2008	양천구	양천구	67.1	32.9
2008	강서구	강서구	57.2	42.8
2008	구로구	구로구	42.4	57.6
2008	금천구	금천구	68.2	31.8
2008	영등포구	영등포구	56.3	43.7
2008	동작구	동작구	53.4	46.6
2008	관악구	관악구	62.5	37.5
2008	서초구	서초구	38.7	61.3
2008	강남구	강남구	57.2	42.8
2008	송파구	송파구	50.1	49.9
2008	강동구	강동구	48.6	51.4
