기간	자치구	지역내총생산(당해년가격)	구성비	지역내총생산(2010년 기준년가격)	전년대비 증감률
2016	서울시	359,439,923	100	332,472,757	2.7
2016	종로구	28,036,775	7.8	27,233,729	-0.2
2016	중구	48,654,807	13.5	50,123,305	0.8
2016	용산구	10,308,398	2.9	9,057,554	2
2016	성동구	10,503,045	2.9	9,272,615	6.4
2016	광진구	5,970,256	1.7	5,259,460	4.6
2016	동대문구	7,180,082	2	6,377,661	5.3
2016	중랑구	4,013,154	1.1	3,508,693	4.5
2016	성북구	5,217,211	1.5	4,549,074	3.6
2016	강북구	2,830,150	0.8	2,462,601	5.4
2016	도봉구	2,816,851	0.8	2,428,325	4
2016	노원구	5,292,768	1.5	4,608,970	3.6
2016	은평구	3,929,828	1.1	3,387,833	9.8
2016	서대문구	7,452,206	2.1	6,530,818	0.6
2016	마포구	16,355,733	4.6	14,918,622	1.8
2016	양천구	6,022,303	1.7	5,323,791	3.6
2016	강서구	10,739,720	3	9,517,594	9.1
2016	구로구	11,964,909	3.3	10,770,880	5.9
2016	금천구	15,004,950	4.2	13,256,060	8.5
2016	영등포구	27,701,698	7.7	26,176,143	2.3
2016	동작구	5,184,807	1.4	4,553,833	3.5
2016	관악구	5,358,231	1.5	4,747,927	1
2016	서초구	29,493,607	8.2	26,571,138	1.8
2016	강남구	59,981,514	16.7	55,136,745	1.8
2016	송파구	22,002,209	6.1	20,022,013	3.5
2016	강동구	7,424,711	2.1	6,677,373	4.3
