기간	구분	구분	전체	남자	여자
2016	서울시	서울시	29.1	29.3	28.9
2016	생애주기별	19~29세	30.9	26.3	35.6
2016	생애주기별	30~44세	35.5	37.8	33
2016	생애주기별	45~64세	27	28.6	25.5
2016	생애주기별	65세 이상	19.8	17.1	22.1
2016	교육수준별Ⅰ(30~64세)	중졸이하	26.5	26	26.9
2016	교육수준별Ⅰ(30~64세)	고졸	29.9	31.6	28.4
2016	교육수준별Ⅰ(30~64세)	대졸이상	32	34.3	29.4
2016	교육수준별Ⅱ(65세 이상)	초졸이하	22.8	20.5	23.7
2016	교육수준별Ⅱ(65세 이상)	중졸	20.9	19.5	22.2
2016	교육수준별Ⅱ(65세 이상)	고졸이상	16.3	14.8	18.7
2016	직업별(30~64세)	육체직	27.2	27.4	26.7
2016	직업별(30~64세)	서비스ㆍ판매직	35	37.2	33
2016	직업별(30~64세)	사무직	34.4	35.1	33.3
2016	종로구	종로구	25.4	23.5	27.3
2016	중구	중구	28.6	27.7	29.5
2016	용산구	용산구	28.7	29.9	27.6
2016	성동구	성동구	28.4	28.8	28.1
2016	광진구	광진구	30.4	29	31.7
2016	동대문구	동대문구	26.6	26	27.2
2016	중랑구	중랑구	31.1	32.3	29.9
2016	성북구	성북구	30.3	30.1	30.5
2016	강북구	강북구	29.7	28.8	30.4
2016	도봉구	도봉구	29.4	24.3	34.3
2016	노원구	노원구	26.8	27.5	26.2
2016	은평구	은평구	25.9	29.2	22.9
2016	서대문구	서대문구	25.4	25	25.8
2016	마포구	마포구	27.6	29	26.4
2016	양천구	양천구	29.4	30.2	28.7
2016	강서구	강서구	28.4	29.5	27.4
2016	구로구	구로구	28.2	28.2	28.1
2016	금천구	금천구	26.2	23.6	28.8
2016	영등포구	영등포구	31	31.7	30.3
2016	동작구	동작구	32	33.1	30.9
2016	관악구	관악구	31.6	34.3	28.9
2016	서초구	서초구	30.5	29	31.9
2016	강남구	강남구	33	35.2	31.1
2016	송파구	송파구	27.8	29	26.6
2016	강동구	강동구	30.1	26.4	33.6
