기간	대분류	분류	계	매우 불만족	약간 불만족	보통	약간 만족	매우 만족
2016	서울시	서울시	100	1.2	8	27.5	52.7	10.6
2016	성별	남자	100	1.2	7.9	26.8	53.9	10.2
2016	성별	여자	100	1.3	8	28.2	51.6	10.9
2016	연령별	10대	100	0.9	9.9	25.9	50.1	13.1
2016	연령별	20대	100	1.3	7.6	25.5	51.4	14.1
2016	연령별	30대	100	1.5	10.2	25	46	17.2
2016	연령별	40대	100	1.6	7.9	14.6	63.6	12.3
2016	연령별	50대	100	0.9	8.2	31.5	57.6	1.8
2016	연령별	60대 이상	100	1	5.7	39.1	46.9	7.2
2016	학력별	중졸 이하	100	0.8	7.6	37	47.3	7.4
2016	학력별	고졸 이하	100	1.1	7.5	28.1	54.5	8.7
2016	학력별	대졸 이하	100	1.4	8.3	25.6	52.5	12.1
2016	학력별	대학원 이상	100	1.1	6.1	22.8	63.3	6.8
2016	소득별	100만원 미만	100	1.4	6	26.5	57.4	8.6
2016	소득별	100-200만원 미만	100	1.1	8	34.6	47.5	8.8
2016	소득별	200-300만원 미만	100	1	8.1	27.7	51.3	11.9
2016	소득별	300-400만원 미만	100	1.3	7.5	26.6	52.8	11.9
2016	소득별	400-500만원 미만	100	1.2	8.4	27.4	52.6	10.4
2016	소득별	500만원 이상	100	1.3	8.1	26.4	54.2	10
2016	혼인상태별	기혼	100	1.3	7.4	27.6	54.2	9.5
2016	혼인상태별	미혼	100	1.3	9.3	24.7	50.4	14.4
2016	혼인상태별	이혼/별거	100	0.9	7.6	25.6	59.4	6.5
2016	혼인상태별	사별	100	0.8	7.3	38.9	46.6	6.3
2016	지역대분류	도심권	100	1.1	6.5	28.6	57.8	6.1
2016	지역대분류	동북권	100	1.2	7.8	27	54.5	9.6
2016	지역대분류	서북권	100	1.4	8.6	28.9	46.4	14.7
2016	지역대분류	서남권	100	1.2	7.8	27.8	49.7	13.5
2016	지역대분류	동남권	100	1.3	8.6	26.8	56.8	6.5
2016	종로구	종로구	100	0.8	7.7	27.1	56.6	7.8
2016	중구	중구	100	0.5	6.7	25.4	64.1	3.5
2016	용산구	용산구	100	1.6	5.6	31.6	54.5	6.7
2016	성동구	성동구	100	1.3	8.6	28.3	56	5.9
2016	광진구	광진구	100	1.5	6.9	33.2	53.3	5
2016	동대문구	동대문구	100	1.4	11.8	28.3	45.7	12.8
2016	중랑구	중랑구	100	0.7	7.6	25.3	58.3	8.1
2016	성북구	성북구	100	1.2	4.9	25.2	57.7	11
2016	강북구	강북구	100	1.5	10	28.3	48.6	11.6
2016	도봉구	도봉구	100	1.4	6.6	24.8	58.2	9
2016	노원구	노원구	100	0.8	7	24.6	55.8	11.8
2016	은평구	은평구	100	0.9	8	27.4	48.1	15.5
2016	서대문구	서대문구	100	1.3	5.8	30.2	48.1	14.5
2016	마포구	마포구	100	1.9	11.5	29.5	43.1	14
2016	양천구	양천구	100	0.3	6.7	30.6	44	18.3
2016	강서구	강서구	100	1.2	8.1	19.7	55.2	15.8
2016	구로구	구로구	100	1.5	9.7	31.9	43.4	13.5
2016	금천구	금천구	100	1.6	6.4	27.7	56.1	8.2
2016	영등포구	영등포구	100	2.2	8.8	27.3	49.6	12.1
2016	동작구	동작구	100	1.4	8.6	29.2	50.9	9.8
2016	관악구	관악구	100	0.6	6.1	30.6	50.1	12.6
2016	서초구	서초구	100	1.4	7.1	25.3	59.1	7
2016	강남구	강남구	100	1.3	6.9	23.1	58	10.7
2016	송파구	송파구	100	1.6	9.1	27.2	57.7	4.4
2016	강동구	강동구	100	0.9	11.9	32.4	51.3	3.5
